Year,Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020,Dominican Republic,30005,26,21,53,5,142,32,573,40,44,2343,266,0,0,6,110,48,16,26,11,87,4,280,2763,88,73,22,22,5,8,40,133,4294,10,12963,272,8,191,14,6,2371,1085,700,69,10,61,284,45,4,125,24,0,48,0
2020,India,46363,210,9,676,205,9569,350,755,188,36,1417,1994,0,15,42,2924,583,140,222,197,104,36,847,1191,1041,571,68,431,12,108,100,96,4888,68,2663,1380,25,1287,169,327,1627,4,68,284,11,560,5057,155,34,1280,1855,35,423,6
2020,Iran,8805,37,0,132,16,3342,119,73,12,25,270,245,0,4,14,282,63,67,64,34,36,9,271,274,199,91,17,80,11,26,92,18,165,30,343,127,8,158,45,98,143,0,11,39,0,80,827,47,4,378,281,14,74,4
2020,Mexico,100325,350,34,5159,533,30166,2438,219,125,56,2627,1952,0,56,467,5584,1034,497,1044,281,269,14,330,247,1263,1070,163,549,28,490,1882,29,769,1745,1952,1943,71,623,925,1279,607,52,36,458,102,871,24358,1448,13,566,2470,30,862,76
2020,Pakistan,10474,44,0,123,25,1220,76,175,37,8,292,288,0,0,7,735,73,25,37,19,23,4,410,208,285,62,16,88,12,13,47,38,576,18,1650,206,20,200,59,33,400,4,26,36,0,50,1724,36,6,752,208,17,54,5
2020,Philippines,25491,164,273,502,125,7945,187,166,32,57,1201,409,446,999,86,983,225,130,150,105,165,58,495,209,290,259,72,330,61,56,846,55,783,154,1393,404,109,438,108,184,370,6,40,132,53,379,1589,183,20,635,818,60,163,25
2020,United Kingdom,9655,51,15,133,39,1872,185,214,14,42,763,260,0,22,27,355,98,38,45,34,32,27,170,339,145,94,12,72,7,21,115,35,414,23,1282,243,6,183,35,111,217,6,22,85,0,111,876,95,10,207,358,17,68,0
2021,"China, People's Republic",49847,146,20,437,74,17705,399,368,151,58,1037,734,32,358,102,1480,340,153,124,125,123,36,843,2059,743,342,45,253,26,85,503,75,1895,85,7812,552,22,756,146,468,1107,16,71,182,0,262,2679,262,19,834,3192,16,313,15
2021,Dominican Republic,24553,33,22,72,11,118,34,492,52,37,2539,272,0,0,4,103,66,26,10,17,75,0,275,1986,120,79,22,26,0,20,34,108,4032,8,9029,319,8,172,23,9,2011,787,527,69,4,63,307,56,6,172,41,0,54,3
2021,India,93450,346,12,1538,376,17299,935,1489,440,84,2874,3752,0,29,116,4429,962,463,456,509,193,64,1971,3147,2307,1573,147,867,8,309,238,272,10145,104,3669,3117,64,2335,247,731,3184,8,160,590,53,1093,11128,360,31,3257,4994,59,878,7
2021,Iran,5734,21,0,86,17,2206,89,39,13,29,192,142,0,7,9,159,46,19,17,28,35,3,185,189,149,43,17,60,0,21,48,8,105,27,244,80,10,96,31,56,113,0,9,37,7,62,473,34,0,218,187,9,38,0
2021,Mexico,107230,323,33,6859,610,31715,3131,247,121,67,2796,2253,0,66,539,5700,1224,507,991,396,303,19,367,258,1294,879,150,530,35,542,1868,64,900,1654,2097,2179,59,567,1188,1539,629,39,56,516,66,809,25282,1374,6,586,2539,20,949,69
2021,Pakistan,9691,31,0,59,41,1104,52,111,22,8,284,282,0,3,6,591,90,27,28,32,38,5,370,229,245,55,13,87,4,20,32,25,616,6,1816,161,8,159,60,28,298,0,24,15,0,53,1464,25,0,784,166,17,57,3
2021,Philippines,27511,152,190,555,129,6478,228,178,45,47,2871,618,300,743,87,1052,282,145,107,199,179,67,494,192,353,276,79,353,55,127,875,51,841,121,1638,890,131,634,145,273,374,9,26,195,35,759,1680,154,26,648,737,69,236,27
2021,United Kingdom,9229,48,13,179,59,1651,146,205,23,66,824,278,0,28,22,250,95,32,39,58,30,24,176,308,167,80,14,49,18,24,89,37,445,29,1121,246,11,148,59,137,237,0,26,81,0,149,771,63,8,237,309,14,72,8
