State and area,Year,Unemployeement,gdp per capita,Birth Rate
Georgia,2011,0.102,92966.03724,1.93
Hawaii,2011,0.07,106898.7432,2.11
Idaho,2011,0.081,76182.28944,2.15
Illinois,2011,0.101,108131.5188,1.84
Indiana,2011,0.091,93519.8177,1.95
Iowa,2011,0.057,91417.1118,1.97
Kansas,2011,0.063,93234.6788,2.09
Kentucky,2011,0.094,85338.02531,1.94
Louisiana,2011,0.073,113185.7175,1.91
Maine,2011,0.077,76960.71768,1.67
Maryland,2011,0.074,107372.9578,1.85
Massachusetts,2011,0.072,124735.2035,1.67
Michigan,2011,0.101,88741.73035,1.84
Minnesota,2011,0.066,99364.41022,1.95
Mississippi,2011,0.099,73169.07962,1.94
Missouri,2011,0.086,88577.19067,1.92
Montana,2011,0.066,83543.04365,1.96
Nebraska,2011,0.044,102120.2001,2.11
Nevada,2011,0.134,95927.73964,1.91
New Hampshire,2011,0.055,91728.07071,1.67
New Jersey,2011,0.094,111178.0111,1.88
New Mexico,2011,0.073,94665.55278,2
New York,2011,0.084,134339.6749,1.79
North Carolina,2011,0.104,95076.5479,1.86
North Dakota,2011,0.034,109101.872,2.08
Ohio,2011,0.089,93839.19341,1.88
Oklahoma,2011,0.056,94119.16492,2.04
Oregon,2011,0.096,87119.36083,1.76
Pennsylvania,2011,0.079,99781.0222,1.8
Rhode Island,2011,0.11,91526.42204,1.6
South Carolina,2011,0.105,80471.26568,1.84
South Dakota,2011,0.045,96650.74886,2.25
Tennessee,2011,0.091,88837.43836,1.87
Texas,2011,0.082,107890.8728,2.07
Utah,2011,0.07,95511.94417,2.38
Vermont,2011,0.055,81286.92982,1.63
Virginia,2011,0.066,105492.0257,1.85
Washington,2011,0.085,112903.8711,1.89
West Virginia,2011,0.078,87291.37486,1.84
Wisconsin,2011,0.076,88803.92307,1.87
Wyoming,2011,0.06,131327.8118,1.98
Alabama,2011,0.094,85389.82482,1.84
Alaska,2011,0.077,151186.5399,2.28
Arizona,2011,0.093,87326.2182,2
Arkansas,2011,0.079,79299.62559,2
California,2011,0.118,111838.5348,1.9
Colorado,2011,0.086,99097.40228,1.85
Connecticut,2011,0.088,124530.4314,1.71
Delaware,2011,0.075,141414.566,1.9
District of Columbia,2011,0.103,316213.6442,1.64
Florida,2011,0.097,83326.12525,1.8
Georgia,2011,0.101,92813.75763,1.93
Hawaii,2011,0.07,106959.1113,2.11
Idaho,2011,0.08,76034.85583,2.15
Illinois,2011,0.1,108012.7498,1.84
Indiana,2011,0.091,93400.27346,1.95
Iowa,2011,0.056,91398.36588,1.97
Kansas,2011,0.063,93171.5718,2.09
Kentucky,2011,0.093,85338.2325,1.94
Louisiana,2011,0.073,112986.8494,1.91
Maine,2011,0.076,76877.6709,1.67
Maryland,2011,0.073,107241.5426,1.85
Massachusetts,2011,0.071,124545.3464,1.67
Michigan,2011,0.099,88628.54218,1.84
Minnesota,2011,0.064,99358.39486,1.95
Mississippi,2011,0.098,73188.97483,1.94
Missouri,2011,0.084,88588.26553,1.92
Montana,2011,0.065,83353.30462,1.96
Nebraska,2011,0.043,101946.26,2.11
Nevada,2011,0.133,95816.55417,1.91
New Hampshire,2011,0.055,91600.09437,1.67
New Jersey,2011,0.093,111054.4467,1.88
New Mexico,2011,0.073,94566.00832,2
New York,2011,0.084,134173.0673,1.79
North Carolina,2011,0.103,94950.26497,1.86
North Dakota,2011,0.034,108772.5428,2.08
Ohio,2011,0.087,93941.9625,1.88
Oklahoma,2011,0.056,93845.09572,2.04
Oregon,2011,0.096,87090.55365,1.76
Pennsylvania,2011,0.079,99620.32216,1.8
Rhode Island,2011,0.11,91544.23185,1.6
South Carolina,2011,0.103,80436.93161,1.84
South Dakota,2011,0.044,96514.67018,2.25
Tennessee,2011,0.089,88905.86676,1.87
Texas,2011,0.08,107777.1167,2.07
Utah,2011,0.066,95653.06097,2.38
Vermont,2011,0.054,81300.8244,1.63
Virginia,2011,0.066,105303.8001,1.85
Washington,2011,0.084,112898.94,1.89
West Virginia,2011,0.077,87118.23023,1.84
Wisconsin,2011,0.075,88725.42404,1.87
Wyoming,2011,0.06,131020.1796,1.98
Alabama,2011,0.092,85504.35986,1.84
Alaska,2011,0.077,151054.3416,2.28
Arizona,2011,0.091,87317.90824,2
Arkansas,2011,0.078,79159.28668,2
California,2011,0.116,111735.8912,1.9
Colorado,2011,0.086,98899.58529,1.85
Connecticut,2011,0.087,124429.8111,1.71
Delaware,2011,0.074,141189.8949,1.9
District of Columbia,2011,0.101,315652.2034,1.64
Florida,2011,0.096,83220.35117,1.8
Georgia,2011,0.099,92699.86518,1.93
Hawaii,2011,0.069,107097.4217,2.11
Idaho,2011,0.079,75881.06889,2.15
Illinois,2011,0.099,107940.2343,1.84
Indiana,2011,0.09,93326.99845,1.95
Iowa,2011,0.055,91383.35277,1.97
Kansas,2011,0.062,93142.16353,2.09
Kentucky,2011,0.092,85356.34495,1.94
Louisiana,2011,0.073,112801.3488,1.91
Maine,2011,0.075,76818.9316,1.67
Maryland,2011,0.072,107113.037,1.85
Massachusetts,2011,0.07,124372.8324,1.67
Michigan,2011,0.098,88547.40298,1.84
Minnesota,2011,0.062,99389.35316,1.95
Mississippi,2011,0.097,73227.98124,1.94
Missouri,2011,0.082,88639.7898,1.92
Montana,2011,0.064,83189.3726,1.96
Nebraska,2011,0.043,101792.1993,2.11
Nevada,2011,0.131,95750.00861,1.91
New Hampshire,2011,0.054,91487.33907,1.67
New Jersey,2011,0.093,110964.6702,1.88
New Mexico,2011,0.073,94487.15529,2
New York,2011,0.085,134009.5111,1.79
North Carolina,2011,0.102,94832.24875,1.86
North Dakota,2011,0.033,108463.2528,2.08
Ohio,2011,0.085,94064.04932,1.88
Oklahoma,2011,0.055,93574.82906,2.04
Oregon,2011,0.094,87090.03006,1.76
Pennsylvania,2011,0.078,99493.64143,1.8
Rhode Island,2011,0.11,91557.14421,1.6
South Carolina,2011,0.101,80425.68935,1.84
South Dakota,2011,0.044,96386.74258,2.25
Tennessee,2011,0.088,88994.21775,1.87
Texas,2011,0.078,107679.2309,2.07
Utah,2011,0.062,95757.54266,2.38
Vermont,2011,0.052,81321.33327,1.63
Virginia,2011,0.065,105161.0051,1.85
Washington,2011,0.083,112835.5973,1.89
West Virginia,2011,0.075,86995.32885,1.84
Wisconsin,2011,0.074,88681.52747,1.87
Wyoming,2011,0.06,130755.2443,1.98
Alabama,2011,0.089,85662.04992,1.84
Alaska,2011,0.076,151055.9926,2.28
Arizona,2011,0.09,87314.44145,2
Arkansas,2011,0.077,79098.25824,2
California,2011,0.115,111704.3284,1.9
Colorado,2011,0.085,98794.2546,1.85
Connecticut,2011,0.086,124431.304,1.71
Delaware,2011,0.072,141054.7389,1.9
District of Columbia,2011,0.099,315133.6643,1.64
Florida,2011,0.094,83143.73065,1.8
Georgia,2011,0.098,92637.50468,1.93
Hawaii,2011,0.068,107323.0831,2.11
Idaho,2011,0.078,75752.33627,2.15
Illinois,2011,0.097,107933.3386,1.84
Indiana,2011,0.088,93325.60053,1.95
Iowa,2011,0.055,91398.58509,1.97
Kansas,2011,0.061,93173.25106,2.09
Kentucky,2011,0.09,85424.96838,1.94
Louisiana,2011,0.073,112672.7788,1.91
Maine,2011,0.074,76803.57538,1.67
Maryland,2011,0.071,107015.077,1.85
Massachusetts,2011,0.069,124256.9156,1.67
Michigan,2011,0.096,88519.89217,1.84
Minnesota,2011,0.06,99456.84924,1.95
Mississippi,2011,0.095,73310.42843,1.94
