Country,State,MAE,MAPE,pred2023,data2021,pred2021
United Kingdom,Washington,775.2369321,2.508857386,6727,[309],1084
United Kingdom,West Virginia,9.439863803,0.674275986,1,[14],4
United Kingdom,Wisconsin,31.07958004,0.431660834,1178,[72],103
United Kingdom,Wyoming,5.790929491,0.723866186,5,[8],2
Pakistan,Alabama,29.00327147,0.935589402,45,[31],60
Pakistan,Alaska,2.309948729,1.04E+16,1,[0],2
Pakistan,Arizona,14.60332407,0.247513967,50,[59],73
Pakistan,Arkansas,14.77853326,0.360452031,29,[41],26
Pakistan,California,1029.4434,0.932466848,1942,[1104],2133
Pakistan,Colorado,18.4156597,0.354147302,61,[52],70
Pakistan,Connecticut,114.4200017,1.030810826,228,[111],225
Pakistan,Delaware,18.84340072,0.856518215,40,[22],40
Pakistan,District of Columbia,8.199664792,1.024958099,15,[8],16
Pakistan,Florida,93.76529562,0.330159492,1027,[284],190
Pakistan,Georgia,243.0923999,0.862029787,437,[282],525
Pakistan,Hawaii,10.4797173,3.493239098,2,[3],13
Pakistan,Idaho,16.01109339,2.668515565,22,[6],22
Pakistan,Illinois,415.6459548,0.703292648,910,[591],1006
Pakistan,Indiana,38.3362261,0.425958068,40,[90],128
Pakistan,Iowa,40.29918068,1.492562247,51,[27],67
Pakistan,Kansas,41.4203517,1.479298275,39,[28],69
Pakistan,Kentucky,94.29674035,2.946773136,70,[32],126
Pakistan,Louisiana,0.090232101,0.002374529,691,[38],37
Pakistan,Maine,50.13895367,10.02779073,47,[5],55
Pakistan,Maryland,282.2151534,0.762743658,628,[370],652
Pakistan,Massachusetts,65.78262992,0.287260393,268,[229],294
Pakistan,Michigan,117.6933046,0.480380835,262,[245],362
Pakistan,Minnesota,163.6143758,2.974806833,161,[55],218
Pakistan,Mississippi,7.281056136,0.560081241,11,[13],20
Pakistan,Missouri,24.54108091,0.28208139,93,[87],111
Pakistan,Montana,0.886651873,0.221662968,3,[4],3
Pakistan,Nebraska,13.76564114,0.688282057,3,[20],6
Pakistan,Nevada,44.76797549,1.398999234,70,[32],76
Pakistan,New Hampshire,7.73715303,0.309486121,88,[25],17
Pakistan,New Jersey,691.5257134,1.122606678,274,[616],1307
Pakistan,New Mexico,26.60720642,4.434534403,30,[6],32
Pakistan,New York,1173.415435,0.646153874,2663,[1816],2989
Pakistan,North Carolina,167.4568352,1.040104567,310,[161],328
Pakistan,North Dakota,8.302462082,1.03780776,20,[8],16
Pakistan,Ohio,63.52494328,0.399527945,194,[159],222
Pakistan,Oklahoma,54.6619615,0.911032692,93,[60],114
Pakistan,Oregon,15.73062934,0.561808191,57,[28],43
Pakistan,Pennsylvania,215.412666,0.722861295,452,[298],513
Pakistan,Rhode Island,51.56201055,2.148417106,81,[24],75
Pakistan,South Carolina,22.67019596,1.511346398,33,[15],37
Pakistan,South Dakota,2.313946277,1.04E+16,2,[0],2
Pakistan,Tennessee,5.311712516,0.100220991,223,[53],47
Pakistan,Texas,774.5318037,0.529051778,2059,[1464],2238
Pakistan,Utah,61.52842334,2.461136934,110,[25],86
Pakistan,Vermont,0.048597511,2.18864E+14,0,[0],0
Pakistan,Virginia,274.060548,0.349567026,874,[784],1058
Pakistan,Washington,162.1619475,0.976879202,393,[166],328
Pakistan,West Virginia,0.150850899,0.008873582,19,[17],17
Pakistan,Wisconsin,87.55446237,1.5360432,102,[57],144
Pakistan,Wyoming,0.045795451,0.01526515,1,[3],3
Philippines,Alabama,57.33913627,0.37723116,93,[152],94
Philippines,Alaska,243.1939488,1.279968152,507,[190],433
Philippines,Arizona,204.3362507,0.368173425,2105,[555],759
Philippines,Arkansas,3.614447381,0.028018972,1337,[129],132
Philippines,California,6328.142241,0.976866663,23704,[6478],12806
Philippines,Colorado,110.455515,0.484454013,189,[228],338
Philippines,Connecticut,121.8427599,0.684509887,429,[178],299
Philippines,Delaware,22.67114356,0.50380319,52,[45],67
Philippines,District of Columbia,3.483121341,0.074108965,42,[47],50
Philippines,Florida,589.2590291,0.205245221,8271,[2871],2281
Philippines,Georgia,57.32144314,0.092753144,9136,[618],675
Philippines,Hawaii,1523.014156,2.049817168,2402,[743],2266
Philippines,Idaho,3.70966845,0.042639867,265,[87],83
Philippines,Illinois,483.5986005,0.459694487,8932,[1052],1535
Philippines,Indiana,52.21618948,0.185163792,1472,[282],334
Philippines,Iowa,8.718418096,0.060127021,151,[145],153
Philippines,Kansas,81.79462675,0.764435764,273,[107],188
Philippines,Kentucky,36.8632669,0.185242547,264,[199],235
Philippines,Louisiana,352.3541649,1.968459022,475,[179],531
Philippines,Maine,3.635028848,0.054254162,4,[67],70
Philippines,Maryland,342.0617,0.692432591,1295,[494],836
Philippines,Massachusetts,111.6142358,0.581324145,259,[192],303
Philippines,Michigan,125.4695965,0.35543795,879,[353],478
Philippines,Minnesota,196.9754351,0.713679113,633,[276],472
Philippines,Mississippi,73.36835737,0.928713384,133,[79],152
Philippines,Missouri,2.342770104,0.006636743,375,[353],355
Philippines,Montana,25.55915632,0.464711933,24,[55],29
Philippines,Nebraska,67.31738002,0.53005811,84,[127],59
